input_file,method,experiment,density1,weight1,density2,weight2,humaneval_base,humaneval_plus,mbpp_base,mbpp_plus,agg_bleu4,agg_chrf,agg_rouge,agg_meteor,norm_bleu4,norm_chrf,norm_rouge,norm_meteor,ne_bleu4,ne_chrf,ne_rouge,ne_meteor
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,1,0.2,0.1,0.2,0.1,0.665,0.604,0.651,0.553,0.0085,0.2331,0.1591,0.2093,0.0089,0.2337,0.1591,0.2096,0.0137,0.2640,0.2037,0.2398
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,2,0.2,0.2,0.2,0.2,0.659,0.610,0.648,0.556,0.0289,0.2902,0.2704,0.2779,0.0296,0.2870,0.2705,0.2684,0.0296,0.2869,0.2704,0.2683
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,3,0.2,0.3,0.2,0.3,0.677,0.628,0.632,0.548,0.0363,0.3152,0.2818,0.3088,0.0368,0.3127,0.2819,0.3033,0.0368,0.3125,0.2818,0.3031
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,4,0.2,0.4,0.2,0.4,0.683,0.622,0.648,0.550,0.0384,0.3164,0.2813,0.3109,0.0387,0.3141,0.2814,0.3067,0.0387,0.3140,0.2813,0.3066
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,5,0.2,0.5,0.2,0.5,0.677,0.616,0.680,0.585,0.0395,0.3089,0.2725,0.3047,0.0396,0.3068,0.2726,0.3012,0.0396,0.3067,0.2726,0.3011
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,6,0.2,0.6,0.2,0.6,0.634,0.579,0.664,0.587,0.0397,0.2998,0.2656,0.2958,0.0398,0.2978,0.2657,0.2928,0.0397,0.2972,0.2653,0.2922
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,7,0.2,0.7,0.2,0.7,0.616,0.573,0.659,0.585,0.0365,0.2879,0.2531,0.2844,0.0367,0.2860,0.2532,0.2817,0.0366,0.2853,0.2529,0.2811
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,8,0.2,0.8,0.2,0.8,0.616,0.579,0.624,0.532,0.0372,0.2787,0.2454,0.2760,0.0373,0.2769,0.2455,0.2737,0.0373,0.2763,0.2453,0.2731
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,9,0.2,0.9,0.2,0.9,0.549,0.500,0.566,0.471,0.0368,0.2736,0.2422,0.2708,0.0369,0.2717,0.2423,0.2683,0.0368,0.2711,0.2421,0.2678
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,10,0.3,0.1,0.3,0.1,0.659,0.616,0.627,0.526,0.0128,0.2223,0.2103,0.2043,0.0136,0.2178,0.2104,0.1889,0.0136,0.2178,0.2104,0.1889
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,11,0.3,0.2,0.3,0.2,0.659,0.616,0.643,0.548,0.0299,0.2945,0.2731,0.2827,0.0305,0.2914,0.2732,0.2737,0.0305,0.2912,0.2731,0.2736
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,12,0.3,0.3,0.3,0.3,0.683,0.634,0.622,0.545,0.0366,0.3165,0.2830,0.3098,0.0371,0.3140,0.2831,0.3044,0.0371,0.3138,0.2830,0.3042
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,13,0.3,0.4,0.3,0.4,0.689,0.628,0.659,0.561,0.0382,0.3130,0.2770,0.3084,0.0384,0.3108,0.2771,0.3044,0.0384,0.3107,0.2771,0.3043
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,14,0.3,0.5,0.3,0.5,0.665,0.604,0.669,0.569,0.0403,0.3112,0.2767,0.3067,0.0404,0.3091,0.2768,0.3033,0.0404,0.3089,0.2767,0.3031
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,15,0.3,0.6,0.3,0.6,0.683,0.628,0.661,0.566,0.0394,0.2955,0.2606,0.2923,0.0395,0.2935,0.2607,0.2895,0.0395,0.2929,0.2604,0.2889
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,16,0.3,0.7,0.3,0.7,0.652,0.604,0.648,0.553,0.0381,0.2878,0.2539,0.2844,0.0382,0.2859,0.2540,0.2819,0.0381,0.2853,0.2537,0.2813
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,17,0.3,0.8,0.3,0.8,0.598,0.561,0.630,0.542,0.0362,0.2801,0.2475,0.2768,0.0363,0.2783,0.2476,0.2742,0.0363,0.2777,0.2473,0.2737
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,18,0.3,0.9,0.3,0.9,0.573,0.530,0.524,0.442,0.0344,0.2689,0.2386,0.2659,0.0347,0.2671,0.2387,0.2634,0.0346,0.2665,0.2384,0.2628
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,19,0.4,0.1,0.4,0.1,0.646,0.604,0.630,0.532,0.0126,0.2221,0.2081,0.2040,0.0134,0.2177,0.2082,0.1889,0.0134,0.2177,0.2082,0.1889
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,20,0.4,0.2,0.4,0.2,0.652,0.610,0.640,0.545,0.0284,0.2879,0.2692,0.2754,0.0291,0.2846,0.2693,0.2656,0.0291,0.2845,0.2693,0.2655
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,21,0.4,0.3,0.4,0.3,0.671,0.616,0.630,0.558,0.0369,0.3176,0.2840,0.3111,0.0374,0.3151,0.2842,0.3058,0.0374,0.3149,0.2840,0.3057
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,22,0.4,0.4,0.4,0.4,0.689,0.622,0.640,0.548,0.0379,0.3136,0.2776,0.3087,0.0382,0.3114,0.2778,0.3047,0.0382,0.3114,0.2777,0.3046
m_dare_dsc13_d0_3_0_7_m_h.out,DARE,23,0.4,0.5,0.4,0.5,0.677,0.628,0.667,0.558,,,,,,,,,,,,
